2
Dumping Log 2,    start pg 3,   end pg 57
id    longitude    latitude    altitude    pitch    roll    yaw
201    109.3764000    23.7241990    542.6300    0.70    -3.13    298.48
202    109.3761000    23.7245960    542.0600    5.96    5.50    311.09
203    109.3758300    23.7249770    542.9100    9.42    12.34    310.78
204    109.3755900    23.7254490    539.0000    4.36    -15.92    327.46
205    109.3767200    23.7259750    516.1800    3.97    6.02    157.59
206    109.3769400    23.7255690    517.8800    4.42    -9.69    157.85
207    109.3771900    23.7251640    519.7700    4.00    2.00    152.20
208    109.3774300    23.7247540    521.2200    5.16    3.67    161.90
209    109.3777000    23.7243770    524.5900    2.13    -3.38    155.10
210    109.3780000    23.7239840    526.8600    1.49    -3.41    156.35
211    109.3782700    23.7236000    524.8900    5.66    4.71    176.20
212    109.3785300    23.7232090    521.6500    1.95    -3.10    167.37
213    109.3787900    23.7228070    519.9400    3.58    -3.25    161.25
214    109.3790000    23.7223950    516.1300    3.35    -4.67    166.86
215    109.3792800    23.7220130    509.2200    0.13    10.71    155.17
216    109.3794900    23.7216010    514.1200    12.77    2.10    178.57
217    109.3797800    23.7212140    518.0700    3.02    0.54    147.62
218    109.3800600    23.7208440    520.6900    6.31    3.92    174.46
219    109.3802900    23.7204510    521.2700    1.25    -2.74    155.32
220    109.3804900    23.7200130    528.3500    6.76    -7.77    169.86
221    109.3807500    23.7196450    531.8100    3.58    0.17    149.64
222    109.3810000    23.7192480    535.0800    6.94    0.44    173.23
223    109.3813000    23.7188570    537.2400    5.17    6.74    168.25
224    109.3815500    23.7184730    539.6100    1.79    -0.78    154.41
225    109.3818200    23.7180920    539.3800    3.52    -3.50    158.22
226    109.3820800    23.7176910    539.3400    3.05    7.67    164.73
227    109.3823200    23.7172990    538.9700    1.95    -3.63    160.74
228    109.3825700    23.7169060    539.2000    3.18    5.66    162.98
229    109.3828400    23.7165070    540.7600    3.33    -8.91    152.38
230    109.3831200    23.7161180    543.7500    5.55    3.03    168.36
231    109.3833700    23.7157150    545.3600    1.11    -1.90    151.42
232    109.3836700    23.7153300    544.4500    2.52    8.70    178.24
233    109.3839100    23.7149240    548.6500    -3.99    -7.64    161.29
234    109.3841800    23.7145390    542.6900    3.28    1.88    165.06
235    109.3844500    23.7141480    542.9200    1.69    0.72    164.75
236    109.3846700    23.7137430    546.6000    -7.24    -3.00    166.86
237    109.3849200    23.7133460    544.6400    10.09    3.46    177.30
238    109.3851900    23.7129400    542.5900    1.47    4.78    161.66
